user_id,sex,sexpref,age,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,total,time_taken
r_c018fd6f,male,women,31,5,3,4,3,6,5,3,7,4,3,7,6,7,5,5,9,7,2,7,6,2,3,5,2,3,4,8,8,3,3,8,4,4,3,4,4,2,6,6,6,4,6,4,6,4,5,4,7,5,3,2,3,7,3,3,7,5,6,3,6,4,4,3,5,7,7,2,4,4,6,4,6,3,3,4,3,4,3,7,4,3,6,8,3,4,7,6,5,8,4,7,5,6,2,7,2,6,3,4,9,3,6,2,3,5,8,3,7,6,8,5,3,5,5,3,6,3,7,5,7,7,4,5,9,4,4,7,7,6,8,6,5,9,6,10,4,7,3,3,691,00:05:32
r_7c03e912,male,women,22.8,1,2,5,3,0,7,3,2,0,0,1,6,2,3,1,0,4,8,5,3,0,2,0,0,7,6,6,8,1,0,3,3,0,2,2,0,2,3,3,8,2,6,1,5,0,7,5,6,5,7,7,1,0,7,2,8,3,2,6,9,1,4,6,4,5,3,0,4,9,6,3,6,8,3,6,5,2,4,5,6,4,4,5,2,5,7,1,7,1,3,2,3,2,2,7,4,6,1,3,7,2,10,3,0,3,2,0,0,6,6,0,4,1,2,1,6,0,4,0,8,3,2,3,3,2,3,3,2,5,5,2,5,4,2,8,7,0,5,7,496,00:12:35
r_c98412e1,female,men,19.2,3,3,4,6,6,7,4,6,2,1,4,4,0,7,1,3,5,3,2,3,3,0,3,3,8,3,2,3,1,2,3,1,6,8,2,6,7,3,2,3,4,4,5,8,0,4,8,4,4,3,2,6,5,2,2,9,6,2,3,3,3,3,2,8,5,0,3,6,3,5,3,2,6,1,3,4,7,4,2,5,3,3,5,0,3,6,2,6,5,8,3,5,4,3,3,2,7,4,6,3,3,4,7,3,3,2,2,4,2,7,4,6,4,3,6,3,2,2,1,4,2,7,5,7,2,6,6,8,2,6,9,1,6,1,8,3,0,7,4,545,00:25:29
r_e9d35d56,female,men,36,4,6,8,7,3,6,6,6,3,3,2,4,4,4,4,3,7,6,4,2,2,2,5,3,2,3,4,8,6,4,6,6,3,3,8,7,6,7,6,6,6,9,4,6,3,4,2,6,2,4,3,4,8,8,2,9,3,4,2,9,4,3,6,5,5,2,3,3,8,3,3,7,4,3,7,4,4,7,9,5,2,6,9,3,9,7,3,7,6,6,4,3,3,2,2,3,8,2,6,7,6,9,9,3,2,4,3,4,4,4,3,4,4,4,3,3,5,6,4,8,8,7,3,8,4,3,6,8,4,6,5,4,4,2,9,3,4,8,5,673,00:10:01
r_34dd9a06,female,men,26.7,2,1,0,3,4,3,3,0,0,0,1,1,0,0,0,3,1,4,3,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,2,1,4,1,3,0,3,1,6,1,0,4,2,2,3,1,5,5,0,1,2,1,0,3,1,0,0,0,1,4,3,2,2,5,5,4,1,1,2,3,1,1,1,3,1,1,0,1,1,1,0,1,2,1,1,0,2,0,4,2,1,4,8,1,0,1,1,0,1,1,0,0,0,1,1,2,3,2,1,1,8,1,3,1,3,5,3,1,2,2,1,3,1,3,1,2,1,0,1,0,216,00:23:04
r_31341e47,female,,27.4,2,9,2,8,3,3,6,4,6,3,3,7,6,10,2,2,4,2,3,7,2,2,4,3,3,2,3,6,2,2,3,4,2,2,2,3,6,6,3,5,2,9,4,5,3,3,4,5,5,6,3,6,2,3,2,3,6,2,5,10,3,6,4,8,6,2,2,3,6,2,2,2,10,3,8,2,4,4,3,6,4,7,6,2,3,3,3,7,8,6,2,9,4,2,2,2,4,2,5,3,2,7,3,2,7,8,3,2,5,2,2,3,5,3,2,3,4,4,2,8,8,9,4,4,2,4,2,2,2,2,5,9,3,3,9,9,3,7,2,581,00:14:01
r_227ec57d,female,women,39.7,3,4,4,5,3,7,2,7,4,2,3,4,3,3,1,3,5,7,5,3,1,1,5,2,7,5,5,6,6,4,7,5,5,5,4,6,2,4,3,4,2,4,4,2,1,2,4,4,3,3,6,5,1,4,2,7,2,6,8,7,2,2,3,6,6,5,1,2,7,6,6,3,6,6,7,3,8,5,5,4,4,5,3,4,3,3,2,5,1,3,3,2,6,3,2,1,6,4,6,6,3,3,5,2,4,7,6,2,2,3,4,6,6,1,1,6,3,2,2,3,6,4,8,4,7,5,6,2,6,7,6,6,4,3,6,5,6,6,4,579,00:15:40
r_c0e57177,female,either,20.3,1,4,1,1,0,2,5,1,1,0,2,2,0,4,0,2,1,3,1,0,0,0,2,0,1,0,2,2,1,1,3,0,1,3,2,1,1,1,1,5,3,1,1,3,0,3,1,0,1,1,2,3,0,4,0,4,2,1,2,5,0,1,3,4,2,1,1,2,3,1,0,2,4,3,6,2,0,4,2,2,2,3,3,1,0,2,1,2,2,1,2,4,1,2,1,2,1,2,2,2,1,8,1,2,1,2,1,1,1,2,0,1,3,1,0,5,1,3,2,3,2,1,3,2,1,3,0,3,2,2,3,4,2,1,3,1,0,3,1,250,00:31:11
r_d8031002,female,either,20.1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,3,0,3,0,4,2,4,1,0,0,6,1,2,1,0,5,0,1,1,3,0,1,0,4,2,0,3,3,1,3,0,1,0,0,2,0,0,0,0,0,0,0,1,0,2,0,2,0,1,0,3,2,2,0,5,0,0,3,5,0,3,6,0,2,4,1,0,3,5,0,1,2,4,3,1,0,0,10,0,0,0,4,0,1,3,0,0,1,0,1,0,4,2,0,0,0,1,1,0,3,0,3,0,0,0,0,3,2,0,1,0,0,0,2,2,169,00:19:15
r_2055fb57,male,women,20.1,6,5,2,5,6,3,6,4,5,2,7,6,4,7,3,3,7,6,8,2,1,2,5,0,6,4,5,7,2,2,7,5,8,3,6,2,6,5,4,8,7,5,7,6,1,5,5,2,4,5,6,6,8,6,3,6,2,4,6,8,1,1,5,3,4,4,2,5,4,4,1,4,4,2,7,4,5,4,7,4,7,7,7,8,7,3,4,6,6,3,6,8,6,6,6,1,2,7,5,7,4,9,4,6,7,5,6,5,4,7,2,2,6,4,3,6,2,6,4,6,7,3,6,5,7,4,4,3,5,6,7,7,6,2,2,4,1,8,7,666,00:16:57
r_934fd90c,male,men,20.3,2,3,3,2,6,5,7,3,1,1,6,5,7,6,2,1,6,4,4,2,0,2,2,2,8,7,8,7,2,2,5,3,1,3,8,4,1,3,4,2,6,6,4,4,0,2,5,2,2,4,2,1,3,6,7,5,0,3,2,4,1,3,2,5,2,4,2,2,8,3,6,2,1,3,6,6,3,4,5,5,1,2,4,1,1,6,3,2,1,9,4,6,5,3,7,2,6,1,2,6,3,10,3,1,5,5,3,3,2,7,1,4,3,3,0,5,3,8,5,6,6,5,5,8,5,4,2,3,4,3,3,6,4,2,2,2,1,4,1,513,00:09:37
r_6f18b4c0,female,men,23.2,6,9,9,2,8,2,8,1,7,9,3,3,3,4,0,5,7,6,7,7,5,0,8,1,8,10,7,10,1,0,8,2,8,2,4,6,5,4,3,2,6,10,6,1,3,8,0,8,9,7,10,4,5,6,7,10,1,7,9,2,3,5,6,8,3,7,1,2,8,10,4,9,4,1,2,5,7,6,6,8,2,4,9,3,8,10,4,9,6,5,8,9,3,4,5,9,9,6,8,10,6,7,8,0,6,6,5,4,4,10,5,7,3,8,2,10,1,2,3,6,3,6,7,10,8,7,3,3,8,2,9,7,4,0,8,10,2,3,3,761,00:10:08
r_4f374144,male,women,23.6,3,4,4,4,5,5,5,5,2,4,3,4,0,4,0,4,5,6,3,6,2,5,4,3,4,3,7,6,3,5,1,5,2,2,4,4,3,5,5,5,4,5,4,0,1,4,6,4,4,2,4,6,4,6,5,5,4,6,5,6,2,1,3,1,6,3,2,2,5,2,6,4,1,2,5,4,3,4,7,6,5,5,3,1,4,5,3,5,2,2,6,6,5,5,6,3,6,5,5,4,2,7,4,5,2,1,5,4,4,4,3,2,4,5,3,4,3,5,5,2,4,2,5,3,4,5,3,4,3,6,7,6,5,3,7,3,4,5,4,551,00:07:25
r_e22289cf,male,women,26,4,5,4,7,3,3,5,4,5,2,7,6,4,8,4,3,7,7,8,6,0,6,5,2,3,6,6,7,3,0,4,9,7,5,2,7,2,4,3,4,6,7,5,3,5,6,2,3,5,6,4,5,2,4,0,8,4,4,7,10,4,6,5,6,2,4,2,3,9,6,3,6,4,7,6,6,7,5,7,6,4,3,7,3,6,7,2,4,3,6,5,7,6,3,6,4,9,3,5,7,5,6,8,5,7,4,7,3,6,8,4,7,2,7,4,7,1,5,6,9,4,7,8,7,4,2,6,7,3,5,3,3,7,5,10,7,7,7,2,702,00:08:26
r_6d4df2b6,male,women,30.7,3,5,0,1,1,3,0,2,2,2,3,8,3,1,1,0,2,6,2,4,1,1,3,1,1,0,4,4,2,6,0,2,1,1,1,3,1,1,1,2,2,1,2,2,3,0,8,9,0,1,1,0,2,0,1,9,1,0,2,4,2,2,7,2,1,0,0,3,4,1,1,0,0,1,3,2,4,2,5,7,0,1,4,8,2,3,1,7,4,8,1,4,5,1,9,1,2,6,4,1,1,3,1,0,3,2,3,1,2,0,7,4,5,6,0,8,0,1,3,0,3,2,5,1,2,1,2,6,4,1,9,1,2,4,9,5,4,3,3,369,00:07:29
r_11cb5a27,female,men,19.9,4,5,3,1,4,5,7,9,3,2,7,6,7,3,2,7,5,5,5,8,4,5,7,6,5,7,9,5,4,7,6,4,5,6,8,5,3,3,3,5,4,4,3,6,4,6,6,10,8,6,7,6,7,3,3,5,8,5,5,4,3,8,3,6,4,5,1,3,6,7,6,5,6,5,8,6,6,1,4,5,4,7,6,3,4,8,7,4,3,4,6,6,7,4,7,3,3,3,3,3,3,7,3,3,5,5,4,3,3,4,2,3,5,8,3,8,4,6,3,6,7,3,2,6,4,3,7,4,5,4,4,4,6,3,9,7,5,7,7,693,00:16:10
r_6e9f087d,male,men,26.2,0,6,4,0,2,2,1,6,3,0,7,3,2,4,0,0,5,4,2,0,0,0,0,0,5,2,9,8,0,0,3,5,0,4,1,3,2,2,1,3,0,9,7,0,5,2,2,9,0,0,0,0,2,3,0,8,0,0,1,3,0,5,0,2,5,0,0,7,8,4,2,4,8,0,0,0,0,0,4,5,0,2,3,2,5,0,5,1,2,2,3,9,6,7,8,0,2,4,2,9,3,6,3,1,4,7,6,1,0,3,0,0,0,0,1,6,0,0,0,0,1,3,1,3,6,0,4,1,4,7,2,4,6,0,10,1,2,0,0,372,00:09:04
r_9974dbec,male,women,22.9,4,4,0,3,3,4,2,6,4,4,3,3,4,4,2,5,3,8,6,5,5,4,2,4,3,4,8,5,4,4,4,3,2,3,8,6,3,1,4,3,5,3,3,2,3,4,2,6,6,4,5,4,6,4,2,6,2,4,3,5,5,3,3,6,4,5,4,4,6,2,2,4,6,2,3,4,4,3,5,2,3,4,7,4,4,4,6,4,2,3,2,5,3,4,7,3,4,3,3,5,2,6,6,3,8,2,3,4,3,6,1,3,3,4,1,6,2,4,2,7,4,3,3,6,6,3,3,5,5,6,3,2,4,2,7,5,5,3,5,549,00:08:37
r_4c4ac191,male,,28.2,4,4,3,2,7,6,6,1,0,2,5,7,2,7,0,7,4,3,6,1,2,2,3,1,3,3,6,7,2,2,5,2,2,4,6,4,5,3,3,6,3,6,4,1,2,5,0,7,5,5,3,2,4,6,1,6,6,5,3,8,0,3,1,5,2,3,4,4,6,5,0,7,0,2,1,3,2,3,7,4,5,2,4,1,4,2,4,4,6,0,5,5,3,5,6,1,5,4,6,6,4,7,4,2,7,3,4,2,3,7,0,1,1,6,4,4,1,3,4,5,4,4,2,6,4,2,5,6,6,4,5,4,5,3,9,2,4,2,3,522,00:14:22
r_d0240f44,male,women,27.6,2,4,1,2,3,4,3,2,1,2,5,6,2,7,1,2,2,7,4,2,1,2,2,1,4,4,4,7,1,3,3,2,0,3,3,1,4,1,2,2,3,7,3,3,0,4,1,6,5,2,2,0,3,4,0,8,1,1,3,8,1,5,1,2,2,3,3,1,8,3,2,2,2,1,4,2,1,2,6,6,2,1,6,1,3,1,2,2,4,2,3,5,3,3,4,3,2,1,3,5,1,5,1,2,2,6,3,5,1,3,1,1,5,2,2,6,6,1,3,7,2,4,4,6,3,2,1,7,2,5,3,2,4,4,8,2,7,2,2,422,00:10:19
r_5d3a529f,male,men,26.6,3,6,6,3,6,7,4,4,2,2,3,3,6,4,2,6,3,7,4,2,1,3,2,2,2,3,6,4,6,2,4,2,3,4,4,3,2,2,5,4,4,7,4,7,2,6,3,6,8,7,7,7,3,3,4,8,2,6,2,8,1,3,2,7,6,3,4,6,4,2,6,3,5,3,7,6,2,3,3,4,3,4,4,3,5,7,6,3,6,6,2,6,4,3,6,4,2,4,6,6,6,9,3,3,3,4,2,6,2,7,2,1,4,4,2,6,2,5,2,2,4,2,2,5,4,2,2,3,2,3,8,2,2,3,8,4,1,3,6,562,00:29:18
r_ef485d4a,female,men,20.8,7,5,2,4,5,3,5,7,6,5,6,6,4,6,4,4,7,6,6,6,2,4,5,6,6,2,4,6,3,4,2,7,4,4,4,5,4,7,4,6,7,4,4,6,2,7,4,4,5,4,6,4,6,7,5,9,2,7,2,9,3,4,4,6,5,5,5,4,4,4,7,8,6,5,6,1,4,5,7,5,6,7,8,3,6,6,5,6,6,5,7,5,8,4,7,2,4,4,6,7,3,7,5,3,4,6,3,4,6,5,5,2,3,4,3,1,4,5,7,5,2,4,4,6,5,6,4,2,3,6,4,6,4,7,9,4,4,4,5,681,00:08:50
r_5c9ddfb8,female,men,23.8,4,8,4,3,4,7,2,3,3,6,4,3,4,3,3,2,4,7,3,5,3,4,4,2,4,6,5,6,3,2,6,4,1,5,6,3,2,4,4,7,3,4,2,7,3,4,2,7,1,6,4,3,3,7,5,6,2,4,5,6,3,3,5,7,8,2,3,3,7,5,5,5,5,7,4,1,6,8,6,7,2,3,6,3,3,8,5,5,5,5,4,1,6,3,6,3,4,2,2,7,3,5,3,2,3,3,2,5,3,6,3,4,6,5,3,5,6,3,3,7,3,7,2,4,7,6,4,4,6,4,5,6,2,3,9,8,3,8,7,608,00:22:34
r_4a01d1e8,female,men,37.9,2,8,3,2,7,8,8,4,2,6,7,7,5,7,2,7,6,3,6,4,0,3,7,3,4,1,4,3,4,4,7,8,3,3,1,6,4,4,3,6,5,7,2,8,3,6,3,7,3,4,5,4,7,8,5,7,4,4,3,8,5,4,7,6,6,3,2,5,4,2,6,7,5,4,7,4,1,3,8,3,6,2,8,6,7,7,3,4,7,8,8,7,6,8,3,2,6,5,4,6,7,8,4,6,2,7,6,7,3,8,4,1,5,1,4,7,3,7,4,6,7,1,4,8,4,5,7,4,2,7,6,4,2,6,8,4,1,6,2,678,00:16:58
r_7c242517,male,men,21.1,3,4,2,2,3,6,2,3,3,2,2,7,5,7,1,2,3,6,4,4,1,2,2,2,3,2,6,6,1,3,4,4,7,3,5,3,2,2,2,6,3,5,4,4,4,4,3,4,2,2,3,1,3,6,3,5,2,4,3,5,1,2,2,2,5,2,2,2,5,5,3,2,3,2,4,1,2,3,4,4,1,5,1,2,4,4,4,3,2,5,3,5,4,2,1,1,4,3,3,3,3,6,6,3,3,4,1,3,2,4,3,5,4,4,3,6,4,5,3,5,2,1,5,3,4,4,8,7,5,3,4,6,3,1,6,2,1,6,3,474,00:11:13
r_bd127813,female,men,20.2,1,6,0,0,0,1,1,0,2,2,3,3,4,6,0,1,10,7,0,8,0,3,2,1,7,0,1,8,1,2,2,0,4,9,0,5,2,2,4,9,1,1,3,3,0,2,3,10,0,2,1,3,3,5,4,1,4,0,8,4,0,7,3,8,2,0,0,4,10,7,4,0,6,6,7,0,1,8,7,0,3,4,3,5,0,5,2,3,1,2,2,10,2,0,3,0,5,4,0,8,4,9,4,2,2,2,2,2,5,7,0,3,8,1,2,5,6,8,2,6,2,3,2,3,2,7,0,8,0,2,8,2,2,2,6,4,4,4,1,459,00:25:10
